Date,Time,1LAC03CT105_XQ02.Out.Average,1LAC03CT106_XQ02.Out.Average,1LAC03CT107_XQ02.Out.Average,1LAC03CT108_XQ02.Out.Average,1LAC23CS101_XQ50.Out.Average,1LAC23CS102_XQ50.Out.Average,1MdbfpC_SucFlAct.Out.Average,1LAB23CP101_XQ01.Out.Average,1LAB23CP102_XQ01.Out.Average,1LAC23CT116_XQ02.Out.Average,1LAC23CT117_XQ02.Out.Average,1LAC23CT118_XQ02.Out.Average
04/30/2026,18:01:00,31.0596,30.88651,31.33655,31.4404,0,0,0,5.482306,5.585314,31.95975,31.57889,31.16345
04/30/2026,18:02:00,31.0596,30.88651,31.33655,31.4404,0,0,0,5.482306,5.585314,31.95975,31.57889,31.16345
04/30/2026,18:03:00,31.0596,30.88651,31.33655,31.4404,0,0,0,5.482306,5.585314,31.95975,31.57889,31.16345
04/30/2026,18:04:00,31.0596,30.88651,31.33655,31.4404,0,0,0,5.482306,5.585314,31.95975,31.57889,31.16345
04/30/2026,18:05:00,31.0596,30.88651,31.33655,31.4404,0,0,0,5.482306,5.585314,31.95975,31.57889,31.16345
04/30/2026,18:06:00,31.0596,30.88651,31.53341,31.55849,327.3513,327.6522,69.4251,12.51945,14.26319,31.95975,31.4356,31.16345
04/30/2026,18:07:00,31.0596,30.88651,34.57887,34.24993,970.3765,956.5558,262.4238,28.93635,28.87818,31.95975,30.54056,31.16345
04/30/2026,18:08:00,31.0596,31.89947,35.0083,34.86972,951.3695,938.5682,237.8099,28.59927,28.7549,31.95975,30.54056,31.16345
04/30/2026,18:09:00,31.0596,31.92509,35.0083,34.86972,957.7896,944.9551,215.5076,29.009,29.25663,31.95975,30.54056,31.16345
04/30/2026,18:10:00,31.99375,32.14586,35.60989,34.86972,964.8003,951.9195,192.9652,29.6389,29.82645,31.95975,30.54056,31.16345
04/30/2026,18:11:00,32.16751,33.06803,36.11756,35.69962,973.2001,960.4572,176.8641,30.16985,30.39628,31.95975,30.54056,31.16345
04/30/2026,18:12:00,32.16751,33.06803,36.11756,35.87485,974.8416,962.2428,176.2657,30.16985,30.50176,31.95975,31.22889,31.16345
04/30/2026,18:13:00,32.97382,33.06803,36.24326,35.87485,975.1454,962.3345,176.2534,30.16985,30.50176,31.95975,31.61356,31.16345
04/30/2026,18:14:00,33.20657,33.18474,37.12317,35.87485,975.7969,962.9729,175.8335,30.16985,30.50176,31.95975,31.61356,31.50767
04/30/2026,18:15:00,33.20657,34.14201,37.12317,35.87485,1026.371,1013.099,178.7346,30.78615,31.12842,31.95975,31.61356,32.16748
04/30/2026,18:16:00,33.20657,34.14201,37.12317,35.87485,1088.38,1074.023,181.8494,31.7669,32.01253,32.41965,31.61356,32.16748
04/30/2026,18:17:00,33.20657,34.14201,37.12317,36.18,1144.759,1129.5,184.7049,32.74499,32.82826,32.99869,31.61356,32.16748
04/30/2026,18:18:00,33.51022,34.14201,37.80372,36.91513,1147.396,1132.268,184.7625,32.84807,33.03118,32.99869,32.50061,32.16748
04/30/2026,18:19:00,34.24588,34.14201,38.12915,36.91513,1148.417,1133.37,184.844,32.84807,33.03118,32.99869,32.68704,32.16748
04/30/2026,18:20:00,34.24588,34.77123,38.12915,36.91513,1194.534,1178.878,187.4616,33.43757,33.63818,32.99869,32.68704,32.16748
04/30/2026,18:21:00,34.24588,35.14689,38.12915,36.91513,1267.787,1251.555,191.5102,34.57648,34.98952,32.99869,32.68704,32.16748
04/30/2026,18:22:00,34.24588,35.14689,38.12915,36.91513,1407.591,1389.16,199.4618,37.37254,37.64018,32.99869,32.68704,32.16748
04/30/2026,18:23:00,34.74111,35.14689,38.97757,36.91513,1596.55,1576.554,214.8735,41.18312,41.63719,32.99869,32.68704,32.16748
04/30/2026,18:24:00,35.28555,35.14689,39.13538,36.91513,1775.699,1751.708,258.7588,44.83757,45.0592,32.99869,32.68704,32.5289
04/30/2026,18:25:00,35.28555,35.26008,39.13538,36.91513,1823.943,1799.108,270.6931,45.81506,45.95228,32.99869,32.68704,33.17188
04/30/2026,18:26:00,36.04913,36.18693,39.57913,36.91513,1884.488,1859.751,288.4696,46.68851,46.93585,32.99869,32.68704,33.17188
04/30/2026,18:27:00,36.29092,36.24883,40.17664,37.36943,2027.774,2001.498,336.1602,48.73518,49.15607,33.79504,32.68704,33.17188
04/30/2026,18:28:00,37.09678,37.22721,40.17664,38.02499,2223.658,2191.147,399.1213,52.2742,52.51618,34.00333,33.0085,33.17188
04/30/2026,18:29:00,37.40066,37.22721,40.17664,38.02499,2295.448,2261.157,424.032,53.52946,53.69977,34.00333,33.72623,33.17188
04/30/2026,18:30:00,37.40066,37.91369,40.17664,38.02499,2274.702,2240.731,420.6609,53.31049,53.45929,34.00333,33.72623,33.17188
04/30/2026,18:31:00,37.40066,38.26786,40.80725,38.02499,2254.217,2221.069,411.6237,52.84669,53.09484,34.00333,33.72623,33.73387
04/30/2026,18:32:00,38.03041,38.26786,41.18348,38.76348,2262.156,2228.427,399.8755,53.91246,54.07261,34.00333,33.72623,34.17664
04/30/2026,18:33:00,38.40664,38.26786,41.18348,39.20468,2262.716,2229.394,398.6717,54.2737,54.20321,34.35976,33.72623,34.17664
04/30/2026,18:34:00,38.40664,38.26786,41.18348,39.20468,2268.535,2234.759,384.8583,54.9665,55.20773,35.043,33.72623,34.17664
04/30/2026,18:35:00,38.40664,38.26786,41.18348,39.20468,2317.478,2283.59,402.421,55.74259,56.00331,35.043,34.2028,34.17664
04/30/2026,18:36:00,38.40664,38.42869,41.18348,39.20468,2384.03,2347.476,425.4216,56.85951,57.15102,35.043,34.76566,34.17664
04/30/2026,18:37:00,38.55568,39.27409,42.01559,39.20468,2418.757,2381.622,435.9861,57.45651,57.75312,35.043,34.76566,34.17664
04/30/2026,18:38:00,39.44766,39.27409,42.19068,39.20468,2427.094,2389.755,436.5455,57.80463,57.92474,35.043,34.76566,34.17664
04/30/2026,18:39:00,39.44766,39.27409,42.19068,39.64866,2429.48,2391.966,432.2138,58.10119,58.31731,35.043,34.76566,34.17664
04/30/2026,18:40:00,39.44766,39.27409,42.19068,40.24606,2431.988,2394.554,427.909,58.51769,58.72308,35.043,34.76566,35.19205
04/30/2026,18:41:00,39.44766,39.27409,42.19068,40.24606,2458.41,2420.474,430.9709,59.28608,59.54276,35.043,34.76566,35.21631
04/30/2026,18:42:00,39.44766,39.27409,42.19068,40.24606,2502.654,2463.664,444.2341,60.27814,60.47698,35.043,34.76566,35.21631
04/30/2026,18:43:00,39.44766,39.97841,42.19068,40.24606,2518.831,2479.207,446.953,60.82064,61.00335,35.47191,34.76566,35.21631
04/30/2026,18:44:00,39.44766,40.31547,42.49605,40.24606,2538.463,2498.596,449.0516,61.45712,61.6871,36.04825,34.76566,35.21631
04/30/2026,18:45:00,40.08273,40.31547,43.23291,40.24606,2580.635,2539.749,458.7067,62.57624,62.80289,36.04825,34.76566,35.21631
04/30/2026,18:46:00,40.48904,40.31547,43.23291,41.21084,2609.457,2567.556,462.064,63.59389,63.80695,36.04825,35.27769,35.21631
04/30/2026,18:47:00,40.48904,40.31547,43.23291,41.28757,2618.983,2577.245,453.6324,64.40524,64.65057,36.04825,35.84024,35.21631
04/30/2026,18:48:00,40.48904,40.31547,43.23291,41.28757,2684.237,2640.962,467.1127,66.03044,66.31786,36.04825,35.84024,35.21631
04/30/2026,18:49:00,40.48904,41.22793,43.23291,41.28757,2726.789,2682.066,470.0891,67.64296,67.89602,36.04825,35.84024,35.21631
04/30/2026,18:50:00,40.98564,41.35709,44.06604,41.28757,2776.057,2730.594,472.2194,69.6358,69.88508,36.04825,35.84024,35.2592
04/30/2026,18:51:00,41.496,41.35709,44.24073,42.15904,2840.924,2793.966,477.5042,72.10144,72.48145,36.04825,35.84024,36.22156
04/30/2026,18:52:00,41.58985,41.84629,44.24073,42.36435,2962.569,2911.968,498.8603,76.43626,76.74779,36.04825,35.84024,36.22156
04/30/2026,18:53:00,42.50332,42.50321,44.28441,42.36435,2938.289,2887.872,496.4597,76.00089,76.07252,36.15887,35.84024,36.22156
04/30/2026,18:54:00,42.50332,42.50321,45.24878,42.36435,2839.432,2790.477,466.7509,73.69315,73.74116,37.05387,35.84024,36.22156
04/30/2026,18:55:00,42.50332,42.50321,45.24878,42.36435,2807.44,2760.331,445.889,73.08315,73.3383,37.05387,35.84024,36.22156
04/30/2026,18:56:00,42.50332,42.50321,45.24878,42.36435,2805.51,2758.186,442.807,73.22711,73.49686,37.05387,36.06765,36.22156
04/30/2026,18:57:00,42.50332,42.50321,45.24878,42.36435,2766.657,2720.758,429.2497,72.69566,72.70744,37.05387,36.84573,36.22156
04/30/2026,18:58:00,42.50332,42.50321,45.24878,42.36435,2737.806,2691.933,420.4764,72.12601,72.13638,37.05387,36.84573,36.22156
04/30/2026,18:59:00,42.50332,42.50321,45.24878,42.36435,2685.164,2641.382,400.7469,70.88086,70.98627,37.05387,36.84573,36.22156
04/30/2026,19:00:00,42.50332,42.50321,45.24878,42.36435,2676.58,2632.622,402.2697,70.45541,70.60426,37.05387,36.84573,36.22156
04/30/2026,19:01:00,42.05169,42.1559,45.31835,42.85067,2644.525,2601.334,392.3412,69.61954,69.7379,37.57409,37.01915,37.01915
04/30/2026,19:02:00,42.05169,42.1559,45.31835,42.85067,2641.483,2598.744,395.9416,69.33129,69.37995,37.57409,37.01915,37.01915
04/30/2026,19:03:00,42.05169,42.1559,45.31835,42.85067,2541.265,2499.94,357.2189,67.21063,67.21605,37.57409,37.01915,37.01915
04/30/2026,19:04:00,42.05169,42.1559,46.32632,43.31461,2372.843,2335.504,271.9231,63.78674,63.4995,37.57409,37.01915,37.01915
04/30/2026,19:05:00,42.04197,41.74392,46.08884,43.47019,2254.602,2221.567,285.4103,58.86658,58.7973,37.57409,37.01915,37.01915
04/30/2026,19:06:00,41.00994,41.00991,45.45711,42.54707,2336.009,2301.332,286.7897,60.9967,61.47989,37.57409,37.01915,37.01915
04/30/2026,19:07:00,41.00994,41.00991,46.46593,43.54562,2450.505,2414.274,271.9348,65.21868,66.025,37.57409,37.01915,37.01915
04/30/2026,19:08:00,41.31664,41.3358,47.55226,44.63185,2709.224,2666.138,293.6801,74.75168,75.4323,37.57409,37.01915,37.01915
04/30/2026,19:09:00,42.12115,42.19069,47.9619,45.96974,2850.326,2803.024,319.2948,80.38341,80.79203,37.57409,37.01915,37.01915
04/30/2026,19:10:00,42.12115,42.19069,48.41552,46.08101,2954.947,2904.365,333.7582,84.94824,85.15469,37.57409,37.01915,37.01915
