Date,Time,1LAC23CT101_XQ02.Out.Average,1LAC23CT102_XQ02.Out.Average,1LAC23CT103_XQ02.Out.Average,1LAC23CT104_XQ02.Out.Average,1LAC23CT105_XQ02.Out.Average,1LAC23CT106_XQ02.Out.Average,1LAC23CT107_XQ02.Out.Average,1LAC23CT108_XQ02.Out.Average,1LAC23CT109_XQ02.Out.Average,1LAC23CT110_XQ02.Out.Average,1PGB41CT101_XQ02.Out.Average,1PGB41CT102_XQ02.Out.Average,1PGB41CT103_XQ02.Out.Average,1PGB41CT104_XQ02.Out.Average,1PGB41CT105_XQ02.Out.Average,1PGB41CT106_XQ02.Out.Average,1PGB41CT107_XQ02.Out.Average,1PGB41CT108_XQ02.Out.Average,1PGB41CT109_XQ02.Out.Average,1PGB41CT110_XQ02.Out.Average,1PGB41CT111_XQ02.Out.Average,1PGB41CT112_XQ02.Out.Average,1LAC13CT101_XQ02.Out.Average,1LAC13CT102_XQ02.Out.Average,1LAC13CT103_XQ02.Out.Average,1LAC13CT104_XQ02.Out.Average,1LAC13CT105_XQ02.Out.Average,1LAC13CT106_XQ02.Out.Average,1LAC03CT105_XQ02.Out.Average,1LAC03CT106_XQ02.Out.Average,1LAC03CT107_XQ02.Out.Average,1LAC03CT108_XQ02.Out.Average,1LAC03CT103_XQ02.Out.Average,1LAC03CT104_XQ02.Out.Average,1LAB13CT103_XQ02.Out.Average,1LAB13CT104_XQ02.Out.Average,1LAB13CT105_XQ02.Out.Average,1LAB23CT101_XQ02.Out.Average,1LAB23CT102_XQ02.Out.Average,1LAB23CT103_XQ02.Out.Average,1LAB13CT101_XQ02.Out.Average,1LAB13CT102_XQ02.Out.Average,1LAC13CT107_XQ02.Out.Average,1LAC13CT108_XQ02.Out.Average,1LAC03CT123_XQ02.Out.Average,1LAC03CT124_XQ02.Out.Average,1LAC03CT109_XQ02.Out.Average,1LAC03CT110_XQ02.Out.Average,1LAB13CP101_XQ01.Out.Average,1LAB13CP102_XQ01.Out.Average,1LAB13CP105_XQ01.Out.Average,1LAB23CP101_XQ01.Out.Average,1LAB23CP102_XQ01.Out.Average,1MdbfpC_SucFlAct.Out.Average,1LAB13CF101_XQ01.Out.Average,1LAB13CF102_XQ01.Out.Average,1LAB13CP103_XQ01.Out.Average,1LAB13CP104_XQ01.Out.Average,1LAC03CT111_XQ02.Out.Average,1LAC03CT113_XQ02.Out.Average,1LAC03CT115_XQ02.Out.Average,1LAC03CT117_XQ02.Out.Average,1LAC03CT119_XQ02.Out.Average,1LAC03CT121_XQ02.Out.Average,1LAC03CT125_XQ02.Out.Average,1LAC03CT126_XQ02.Out.Average,1LAC23CS101_XQ50.Out.Average,1LAC23CS102_XQ50.Out.Average,1LAC03AP001_XQ06.Out.Average,1LAC03AA101_XQ50.Out.Average,1LAC23CP101_XQ01.Out.Average,1LAC23CP102_XQ01.Out.Average,1LAC23CP103_XQ01.Out.Average,1LAC23CP104_XQ01.Out.Average,1LAC23CP105_XQ01.Out.Average,1LAC23CP106_XQ01.Out.Average,1LAC03CT101_XQ02.Out.Average,1LAC03CT102_XQ02.Out.Average,1LAC23CT111_XQ02.Out.Average,1LAC23CT112_XQ02.Out.Average,1LAC23CT113_XQ02.Out.Average,1LAC23CT114_XQ02.Out.Average,1LAC23CT115_XQ02.Out.Average,1LAC23CT116_XQ02.Out.Average,1LAC23CT117_XQ02.Out.Average,1LAC23CT118_XQ02.Out.Average
12/12/2025,20:01:00,25.35287,24.90368,25.62932,25.52566,25.00734,24.86913,25.42199,25.59478,24.83458,25.59478,25.76756,25.66388,25.733,25.62932,26.32057,26.76996,27.01198,26.45885,25.4911,25.45654,25.2492,25.52566,25.38743,25.45654,25.45654,25.38743,25.42199,25.18009,25.76756,25.45654,25.45654,25.42199,26.14774,25.94037,36.74171,36.63768,38.05973,32.51382,30.47116,30.22891,27.1157,27.1157,25.733,25.80212,25.42199,26.32057,27.49604,26.25144,7.23733,7.20597,7.194983,7.038868,7.199103,0,0,0.3433594,0,0,23.45287,23.52194,23.55646,23.41833,23.52194,23.41833,25.62932,25.83669,0,0,-2.637,73.63914,0,0,0,0.04916907,0.04669688,0.04752094,25.38743,25.00734,25.59478,25.83669,25.80212,26.73539,26.56256,27.28857,26.76996,26.76996
12/12/2025,20:02:00,25.35287,24.90368,25.62932,25.52566,25.00734,24.86913,25.42199,25.59478,24.83458,25.59478,25.76756,25.66388,25.733,25.62932,26.32057,26.76996,27.01198,26.45885,25.4911,25.45654,25.2492,25.52566,25.38743,25.45654,25.45654,25.38743,25.42199,25.18009,25.76756,25.45654,25.45654,25.42199,26.14774,25.94037,36.74171,36.63768,38.05973,32.51382,30.47116,30.22891,27.1157,27.1157,25.733,25.80212,25.42199,26.32057,27.49604,26.25144,7.23733,7.20597,7.194983,7.038868,7.199103,0,0,0.3433594,0,0,23.45287,23.52194,23.55646,23.41833,23.52194,23.41833,25.62932,25.83669,0,0,-2.637,73.57998,0,0,0,0.04916907,0.04669688,0.04752094,25.38743,25.00734,25.59478,25.83669,25.80212,26.73539,26.56256,27.28857,26.76996,26.76996
12/12/2025,20:03:00,25.35287,24.90368,25.62932,25.52566,25.00734,24.86913,25.42199,25.59478,24.83458,25.59478,25.76756,25.66388,25.733,25.62932,26.32057,26.76996,27.01198,26.45885,25.4911,25.45654,25.2492,25.52566,25.38743,25.45654,25.45654,25.38743,25.42199,25.18009,25.76756,25.45654,25.45654,25.42199,26.14774,25.94037,36.74171,36.63768,38.05973,32.51382,30.47116,30.22891,27.1157,27.1157,25.733,25.80212,25.42199,26.32057,27.49604,26.25144,7.23733,7.20597,7.194983,7.038868,7.199103,0,0,0.3433594,0,0,23.45287,23.52194,23.55646,23.41833,23.52194,23.41833,25.62932,25.83669,0,0,-2.637,73.61494,0,0,0,0.04916907,0.04669688,0.04752094,25.38743,25.00734,25.59478,25.83669,25.80212,26.73539,26.56256,27.28857,26.76996,26.76996
12/12/2025,20:04:00,25.35287,24.90368,25.62932,25.52566,25.00734,24.86913,25.42199,25.59478,24.83458,25.59478,25.76756,25.66388,25.733,25.62932,26.32057,26.76996,27.01198,26.45885,25.4911,25.45654,25.2492,25.52566,25.38743,25.45654,25.45654,25.38743,25.42199,25.18009,25.76756,25.45654,25.45654,25.42199,26.14774,25.94037,36.74171,36.63768,38.05973,32.51382,30.47116,30.22891,27.1157,27.1157,25.733,25.80212,25.42199,26.32057,27.49604,26.25144,7.23733,7.20597,7.194983,7.038868,7.199103,0,0,0.3754989,0,0,23.45287,23.52194,23.55646,23.41833,23.52194,23.41833,25.62932,25.83669,0,0,-2.637,74.49821,0,0,0,0.04916907,0.04669688,0.04752094,25.38743,25.00734,25.59478,25.83669,25.80212,26.73539,26.56256,27.28857,26.76996,26.76996
12/12/2025,20:05:00,25.35287,24.90368,25.62932,25.52566,25.00734,24.86913,25.42199,25.59478,24.83458,25.59478,25.76756,25.66388,25.733,25.62932,26.32057,26.76996,27.01198,26.45885,25.4911,25.45654,25.2492,25.52566,25.38743,25.45654,25.45654,25.38743,25.42199,25.18009,25.76756,25.45654,25.45654,25.42199,26.14774,25.94037,36.74171,36.63768,38.05973,32.51382,30.47116,30.22891,27.1157,27.1157,25.733,25.80212,25.42199,26.32057,27.49604,26.25144,7.23733,7.20597,7.194983,7.038868,7.199103,0,0,0.3710323,0,0,23.45287,23.52194,23.55646,23.41833,23.52194,23.41833,25.62932,25.83669,0,0,-2.637,74.60661,0,0,0,0.04916907,0.04669688,0.04752094,25.38743,25.00734,25.59478,25.83669,25.80212,26.73539,26.56256,27.28857,26.76996,26.76996
12/12/2025,20:06:00,25.35287,24.90368,25.62932,25.52566,25.00734,24.86913,25.42199,25.59478,24.83458,25.59478,25.76756,25.66388,25.733,25.62932,26.32057,26.76996,27.01198,26.45885,25.4911,25.45654,25.2492,25.52566,25.38743,25.45654,25.45654,25.38743,25.42199,25.18009,25.76756,25.45654,25.45654,25.42199,26.14774,25.94037,36.74171,36.63768,38.05973,32.51382,30.47116,30.22891,27.1157,27.1157,25.733,25.80212,25.42199,26.32057,27.49604,26.25144,7.23733,7.20597,7.194983,7.038868,7.199103,0,0,0.3523674,0,0,23.45287,23.52194,23.55646,23.41833,23.52194,23.41833,25.62932,25.83669,0,0,-2.637,74.54126,0,0,0,0.04916907,0.04669688,0.04752094,25.38743,25.00734,25.59478,25.83669,25.80212,26.73539,26.56256,27.28857,26.76996,26.76996
12/12/2025,20:07:00,25.35287,24.90368,25.62932,25.52566,25.00734,24.86913,25.42199,25.59478,24.83458,25.59478,25.76756,25.66388,25.733,25.62932,26.32057,26.76996,27.01198,26.45885,25.4911,25.45654,25.2492,25.52566,25.38743,25.45654,25.45654,25.38743,25.42199,25.18009,25.76756,25.45654,25.45654,25.42199,26.14774,25.94037,36.74171,36.63768,38.05973,32.51382,30.47116,30.22891,27.1157,27.1157,25.733,25.80212,25.42199,26.32057,27.49604,26.25144,7.23733,7.20597,7.194983,7.038868,7.199103,0,0,0.4132118,0,0,23.45287,23.52194,23.55646,23.41833,23.52194,23.41833,25.62932,25.83669,0,0,-2.637,74.31488,0,0,0,0.04916907,0.04669688,0.04752094,25.38743,25.00734,25.59478,25.83669,25.80212,26.73539,26.56256,27.28857,26.76996,26.76996
12/12/2025,20:08:00,25.35287,24.90368,25.62932,25.52566,25.00734,24.86913,25.42199,25.59478,24.83458,25.59478,25.76756,25.66388,25.733,25.62932,26.32057,26.76996,27.01198,26.45885,25.4911,25.45654,25.2492,25.52566,25.38743,25.45654,25.45654,25.38743,25.42199,25.18009,25.76756,25.45654,25.45654,25.42199,26.14774,25.94037,36.74171,36.63768,38.05973,32.51382,30.47116,30.22891,27.1157,27.1157,25.733,25.80212,25.42199,26.32057,27.49604,26.25144,7.23733,7.20597,7.194983,7.038868,7.199103,0,0,0.4631667,0,0,23.45287,23.52194,23.55646,23.41833,23.52194,23.41833,25.62932,25.83669,0,0,-2.637,74.33349,0,0,0,0.04916907,0.04669688,0.04752094,25.38743,25.00734,25.59478,25.83669,25.80212,26.73539,26.56256,27.28857,26.76996,26.76996
12/12/2025,20:09:00,25.35287,24.90368,25.62932,25.52566,25.00734,24.86913,25.42199,25.59478,24.83458,25.59478,25.76756,25.66388,25.733,25.62932,26.32057,26.76996,27.01198,26.45885,25.4911,25.45654,25.2492,25.52566,25.38743,25.45654,25.45654,25.38743,25.42199,25.18009,25.76756,25.45654,25.45654,25.42199,26.14774,25.94037,36.74171,36.63768,38.05973,32.51382,30.47116,30.22891,27.1157,27.1157,25.733,25.80212,25.42199,26.32057,27.49604,26.25144,7.23733,7.20597,7.194983,7.038868,7.199103,0,0,0.4634042,0,0,23.45287,23.52194,23.55646,23.41833,23.52194,23.41833,25.62932,25.83669,0,0,-2.637,74.13116,0,0,0,0.04916907,0.04669688,0.04752094,25.38743,25.00734,25.59478,25.83669,25.80212,26.73539,26.56256,27.28857,26.76996,26.76996
12/12/2025,20:10:00,25.35287,24.90368,25.62932,25.52566,25.00734,24.86913,25.42199,25.59478,24.83458,25.59478,25.76756,25.66388,25.733,25.62932,26.32057,26.76996,27.01198,26.45885,25.4911,25.45654,25.2492,25.52566,25.38743,25.45654,25.45654,25.38743,25.42199,25.18009,25.76756,25.45654,25.45654,25.42199,26.14774,25.94037,36.74171,36.63768,38.05973,32.51382,30.47116,30.22891,27.1157,27.1157,25.733,25.80212,25.42199,26.32057,27.49604,26.25144,7.23733,7.20597,7.194983,7.038868,7.199103,0,0,0.4692801,0,0,23.45287,23.52194,23.55646,23.41833,23.52194,23.41833,25.62932,25.83669,0,0,-2.637,73.80334,0,0,0,0.04916907,0.04669688,0.04752094,25.38743,25.00734,25.59478,25.83669,25.80212,26.73539,26.56256,27.28857,26.76996,26.76996
