Date,Time,1LAC03CT105_XQ02.Out.Average,1LAC03CT106_XQ02.Out.Average,1LAC03CT107_XQ02.Out.Average,1LAC03CT108_XQ02.Out.Average,1LAC23CS101_XQ50.Out.Average,1LAC23CS102_XQ50.Out.Average,1MdbfpC_SucFlAct.Out.Average,1LAB23CP101_XQ01.Out.Average,1LAB23CP102_XQ01.Out.Average,1LAC23CT116_XQ02.Out.Average,1LAC23CT117_XQ02.Out.Average,1LAC23CT118_XQ02.Out.Average
06/13/2025,00:01:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.755665,8.847228,32.40992,31.95975,32.06364
06/13/2025,00:02:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.755665,8.847228,32.40992,31.95975,32.06364
06/13/2025,00:03:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.755665,8.847228,32.40992,31.95975,32.06364
06/13/2025,00:04:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.755665,8.847228,32.40992,31.95975,32.06364
06/13/2025,00:05:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.755665,8.847228,32.40992,31.95975,32.06364
06/13/2025,00:06:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.755665,8.847228,32.40992,31.95975,32.06364
06/13/2025,00:07:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.755665,8.847228,32.40992,31.95975,32.06364
06/13/2025,00:08:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.897197,9.060864,32.40992,31.95975,32.06364
06/13/2025,00:09:00,32.30605,32.61772,32.30605,32.30605,0,0,0,9.064686,9.156249,32.40992,31.95975,32.06364
06/13/2025,00:10:00,32.30605,32.61772,32.30605,32.30605,0,0,0,9.064686,9.156249,32.40992,31.95975,32.06364
06/13/2025,00:11:00,32.30605,32.61772,32.30605,32.30605,0,0,0,9.064686,9.156249,32.40992,31.95975,32.06364
06/13/2025,00:12:00,32.30605,32.61772,32.30605,32.30605,0,0,0,9.064686,9.156249,32.40992,31.95975,32.06364
06/13/2025,00:13:00,32.30605,32.61772,32.30605,32.30605,0,0,0,9.064686,9.156249,32.40992,31.95975,32.06364
06/13/2025,00:14:00,32.30605,32.61772,32.30605,32.30605,0,0,0,9.064686,9.156249,32.40992,31.95975,32.06364
06/13/2025,00:15:00,32.30605,32.61772,32.30605,32.30605,0,0,0,9.064686,9.156249,32.40992,31.95975,32.06364
06/13/2025,00:16:00,32.30605,32.61772,32.30605,32.30605,0,0,0,9.064686,9.156249,32.40992,31.95975,32.06364
06/13/2025,00:17:00,32.30605,32.61772,32.30605,32.30605,0,0,0,9.064686,9.156249,32.40992,31.95975,32.06364
06/13/2025,00:18:00,32.30605,32.61772,32.30605,32.30605,0,0,0,9.216415,9.364684,32.40992,31.95975,32.06364
06/13/2025,00:19:00,32.30605,32.61772,32.30605,32.30605,0,0,0,9.373707,9.46527,32.40992,31.95975,32.06364
06/13/2025,00:20:00,32.30605,32.61772,32.30605,32.30605,0,0,0,9.373707,9.46527,32.40992,31.95975,32.06364
06/13/2025,00:21:00,32.30605,32.61772,32.30605,32.30605,0,0,0,9.373707,9.46527,32.40992,31.95975,32.06364
06/13/2025,00:22:00,32.30605,32.61772,32.30605,32.30605,0,0,0,9.373707,9.46527,32.40992,31.95975,32.06364
06/13/2025,00:23:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.724188,8.704541,32.40992,31.95975,32.06364
06/13/2025,00:24:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.810175,8.961669,32.40992,31.95975,32.06364
06/13/2025,00:25:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.984577,8.961669,32.40992,31.95975,32.06364
06/13/2025,00:26:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.984577,9.072401,32.40992,31.95975,32.06364
06/13/2025,00:27:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.984577,9.27069,32.40992,31.95975,32.06364
06/13/2025,00:28:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.984577,9.27069,32.40992,31.95975,32.06364
06/13/2025,00:29:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.984577,9.27069,32.40992,31.95975,32.06364
06/13/2025,00:30:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.984577,9.27069,32.40992,31.95975,32.06364
06/13/2025,00:31:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.984577,9.27069,32.40992,31.95975,32.06364
06/13/2025,00:32:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.984577,9.27069,32.40992,31.95975,32.06364
06/13/2025,00:33:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.984577,9.27069,32.40992,31.95975,32.06364
06/13/2025,00:34:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.984577,9.27069,32.40992,31.95975,32.06364
06/13/2025,00:35:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.984577,9.27069,32.40992,31.95975,32.06364
06/13/2025,00:36:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.984577,9.27069,32.40992,31.95975,32.06364
06/13/2025,00:37:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.984577,9.27069,32.40992,31.95975,32.06364
06/13/2025,00:38:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.984577,9.27069,32.40992,31.95975,32.06364
06/13/2025,00:39:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.984577,9.27069,32.40992,31.95975,32.06364
06/13/2025,00:40:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.984577,9.27069,32.40992,31.95975,32.06364
06/13/2025,00:41:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.984577,9.27069,32.40992,31.95975,32.06364
06/13/2025,00:42:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.984577,9.179278,32.40992,31.95975,32.06364
06/13/2025,00:43:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.81216,8.915923,32.40992,31.95975,32.06364
06/13/2025,00:44:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.675587,8.915923,32.40992,31.95975,32.06364
06/13/2025,00:45:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.675587,8.897948,32.40992,31.95975,32.06364
06/13/2025,00:46:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.675587,8.606902,32.40992,31.95975,32.06364
06/13/2025,00:47:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.675587,8.606902,32.40992,31.95975,32.06364
06/13/2025,00:48:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.675587,8.606902,32.40992,31.95975,32.06364
06/13/2025,00:49:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.675587,8.606902,32.40992,31.95975,32.06364
06/13/2025,00:50:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.675587,8.606902,32.40992,31.95975,32.06364
06/13/2025,00:51:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.441246,8.606902,32.40992,31.95975,32.06364
06/13/2025,00:52:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.366566,8.606902,32.40992,31.95975,32.06364
06/13/2025,00:53:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.366566,8.606902,32.40992,31.95975,32.06364
06/13/2025,00:54:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.366566,8.606902,32.40992,31.95975,32.06364
06/13/2025,00:55:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.366566,8.606902,32.40992,31.95975,32.06364
06/13/2025,00:56:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.366566,8.606902,32.40992,31.95975,32.06364
06/13/2025,00:57:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.366566,8.606902,32.40992,31.95975,32.06364
06/13/2025,00:58:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.366566,8.606902,32.40992,31.95975,32.06364
06/13/2025,00:59:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.366566,8.606902,32.40992,31.95975,32.06364
06/13/2025,01:00:00,32.30605,32.61772,32.30605,32.30605,0,0,0,8.366566,8.606902,32.40992,31.95975,32.06364
06/13/2025,01:01:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:02:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:03:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:04:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:05:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:06:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:07:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:08:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:09:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:10:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:11:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:12:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:13:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:14:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:15:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:16:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:17:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:18:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:19:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:20:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:21:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:22:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:23:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:24:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:25:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:26:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:27:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:28:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:29:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:30:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:31:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:32:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:33:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:34:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:35:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:36:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:37:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:38:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:39:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:40:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:41:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:42:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:43:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:44:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:45:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:46:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:47:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:48:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:49:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:50:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:51:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:52:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:53:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:54:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:55:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:56:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:57:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:58:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,01:59:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,02:00:00,32.09826,32.37531,32.13289,32.09826,0,0,0,8.263516,8.37797,32.09826,31.61351,31.71739
06/13/2025,02:01:00,31.8905,32.20215,31.92512,31.8905,0,0,0,8.160509,8.263516,31.8905,31.40578,31.50964
06/13/2025,02:02:00,31.8905,32.20215,31.92512,31.8905,0,0,0,8.160509,8.263516,31.8905,31.40578,31.50964
06/13/2025,02:03:00,31.8905,32.20215,31.92512,31.8905,0,0,0,8.160509,8.263516,31.8905,31.40578,31.50964
06/13/2025,02:04:00,31.8905,32.20215,31.92512,31.8905,0,0,0,8.160509,8.263516,31.8905,31.40578,31.50964
06/13/2025,02:05:00,31.8905,32.20215,31.92512,31.8905,0,0,0,8.160509,8.263516,31.8905,31.40578,31.50964
06/13/2025,02:06:00,31.8905,32.20215,31.92512,31.8905,0,0,0,8.160509,8.263516,31.8905,31.40578,31.50964
06/13/2025,02:07:00,31.8905,32.20215,31.92512,31.8905,0,0,0,8.160509,8.263516,31.8905,31.40578,31.50964
06/13/2025,02:08:00,31.8905,32.20215,31.92512,31.8905,0,0,0,8.160509,8.263516,31.8905,31.40578,31.50964
06/13/2025,02:09:00,31.8905,32.20215,31.92512,31.8905,0,0,0,8.160509,8.263516,31.8905,31.40578,31.50964
06/13/2025,02:10:00,31.8905,32.20215,31.92512,31.8905,0,0,0,8.160509,8.263516,31.8905,31.40578,31.50964
06/13/2025,02:11:00,31.8905,32.20215,31.92512,31.8905,0,0,0,8.160509,8.263516,31.8905,31.40578,31.50964
06/13/2025,02:12:00,31.8905,32.20215,31.92512,31.8905,0,0,0,8.160509,8.263516,31.8905,31.40578,31.50964
06/13/2025,02:13:00,31.8905,32.20215,31.92512,31.8905,0,0,0,8.160509,8.263516,31.8905,31.40578,31.50964
06/13/2025,02:14:00,31.8905,32.20215,31.92512,31.8905,0,0,0,8.160509,8.263516,31.8905,31.40578,31.50964
06/13/2025,02:15:00,31.8905,32.20215,31.92512,31.8905,0,0,0,8.160509,8.263516,31.8905,31.40578,31.50964
06/13/2025,02:16:00,31.8905,32.20215,31.92512,31.8905,0,0,0,8.160509,8.263516,31.8905,31.40578,31.50964
06/13/2025,02:17:00,31.8905,32.20215,31.92512,31.8905,0,0,0,8.160509,8.263516,31.8905,31.40578,31.50964
06/13/2025,02:18:00,31.8905,32.20215,31.92512,31.8905,0,0,0,8.160509,8.263516,31.8905,31.40578,31.50964
06/13/2025,02:19:00,31.8905,32.20215,31.92512,31.8905,0,0,0,8.160509,8.263516,31.8905,31.40578,31.50964
06/13/2025,02:20:00,31.8905,32.20215,31.92512,31.8905,0,0,0,8.160509,8.263516,31.8905,31.40578,31.50964
06/13/2025,02:21:00,31.8905,32.20215,31.92512,31.8905,0,0,0,8.160509,8.263516,31.8905,31.40578,31.50964
06/13/2025,02:22:00,31.8905,32.20215,31.92512,31.8905,0,0,0,8.160509,8.263516,31.8905,31.40578,31.50964
06/13/2025,02:23:00,31.8905,32.20215,31.92512,31.8905,0,0,0,8.160509,8.263516,31.8905,31.40578,31.50964
06/13/2025,02:24:00,31.8905,32.20215,31.92512,31.8905,0,0,0,8.094419,8.193421,31.8905,31.40578,31.50964
06/13/2025,02:25:00,31.8905,32.20215,31.92512,31.8905,0,0,0,7.361757,7.390598,31.8905,31.40578,31.50964
06/13/2025,02:26:00,31.8905,32.20215,31.92512,31.8905,0,0,0,6.389092,6.361273,31.8905,31.40578,31.50964
06/13/2025,02:27:00,31.8905,32.20215,31.92512,31.8905,0,0,0,6.671061,6.934724,31.8905,31.40578,31.50964
06/13/2025,02:28:00,31.8905,32.20215,31.92512,31.8905,0,0,0,6.23982,6.339516,31.8905,31.40578,31.50964
06/13/2025,02:29:00,31.8905,32.20215,31.92512,31.8905,0,0,0,5.779692,5.836373,31.8905,31.40578,31.50964
06/13/2025,02:30:00,31.8905,32.20215,31.92512,31.8905,0,0,0,5.5739,5.645284,31.8905,31.40578,31.50964
06/13/2025,02:31:00,31.8905,32.20215,31.92512,31.8905,0,0,0,5.302193,5.482327,31.8905,31.40578,31.50964
06/13/2025,02:32:00,31.8905,32.20215,31.92512,31.8905,0,0,0,5.17137,5.206732,31.8905,31.40578,31.50964
06/13/2025,02:33:00,31.8905,32.20215,31.92512,31.8905,0,0,0,4.921526,5.137626,31.8905,31.40578,31.50964
